FID,SMILES,frequency
561,[16*]c1cnc2[nH]c(=O)[nH]c(=O)c2c1,553
562,[16*]c1c(C)nc2c(c1C)c(=O)[nH]n2C,551
563,[9*]n1cnc2[nH]ncc2c1=O,551
564,[16*]c1ccc2c(c1)COC2=O,550
565,[5*]N1C[C@@H]2CCN[C@@H]2C1,550
566,[5*]N1CCN(S(=O)(=O)N2CC(C)OC(C)C2)CC1,547
567,[6*]C(=O)CC,545
568,[16*]c1ccnc2nc[nH]c(=O)c12,545
569,[12*]S(=O)(=O)c1cc2c3c(c1)CCC(=O)N3CCC2,544
570,[5*]N1CC2CCC1CC2,543
571,[16*]c1cc2c3c(c1)CC(=O)N3CCC2,541
572,[16*]c1ccc(C2=NNC(=O)CC2)cc1,540
573,[14*]c1cccnn1,538
574,[5*]NC(=NC)N1CCC2(CCCCC2)C1,537
575,[14*]c1nccc2[nH]cnc12,537
576,[16*]c1ccc2c(c1)CNC(=O)CO2,536
577,[5*]N1CCC2(C)C(C1)C2(F)F,535
578,[16*]c1ccc(F)c(C)c1,535
579,[14*]c1csc(C)n1,533
580,[15*]C1COC(C)(C)OC1,532
581,[15*][C@@H]1CCC12CCCC2,532
582,[16*]c1ccnc2ccccc12,530
583,[8*]C(C)CC,530
584,[7*]=C1CCCC1=O,526
585,[5*][NH2+]C,525
586,[9*]n1ccccc1=NC=O,524
587,[6*]C(=O)NNC=O,524
588,[6*]C(=O)N=c1cccc[nH]1,523
589,[14*]c1ccc(Cl)cn1,523
590,[16*]c1ccc2oc3ccccc3c(=O)c2c1,523
591,[5*]N1CCN(S(=O)(=O)N2CCCC2)CC1,522
592,[16*]c1ccc(C2=NNC(=O)CC2C)cc1,522
593,[14*]c1cc2ccncc2[nH]1,521
594,[16*]c1ccnc2[nH]c(=O)[nH]c(=O)c12,521
595,[13*]C1CNC2(CCCC2)CN1,520
596,[16*]c1c[nH]c2cnccc12,519
597,[15*]C1CCn2nccc2C1,518
598,[14*]c1nc2c(s1)CCC2C=O,518
599,[16*]c1ccc2c(c1)sc(=O)n2C,518
600,[1*]C(=O)C1CCc2scnc21,518
