FID,SMILES,frequency,org_FID
298,[5*]N1CCSC1,350,856
299,[7*]=C(C)O,349,860
300,[14*]c1nc(=O)[nH]c2c1CCC2,346,867
301,[13*][C@H]1CSCC(=O)N1,344,869
302,[14*]c1cnco1,343,872
303,[9*]n1c(=O)ncc2ccccc21,343,874
304,[5*]N1CCNCC1C,341,878
305,[14*]c1sc2cnccc2c1N,339,884
306,[12*]S(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2C,338,885
307,[4*][C@H](C)CC,335,893
308,[14*]c1ccc(Br)cn1,334,894
309,[16*]c1c(Cl)cc(Cl)c2nsnc12,334,895
310,[15*][C@H]1CCOC1,334,898
311,[14*]c1cc(=O)n2c(C)csc2n1,332,900
312,[9*]n1c(=O)[nH]c(=O)c2[nH]cnc21,332,902
313,[4*]C1CCCC1,330,907
314,[13*][C@@H]1Nc2ccccc2S(=O)(=O)N1,329,909
315,[14*]c1nccn2nc(C)cc12,329,910
316,[15*]C1CCC2OCCOC2C1,328,913
317,[16*]c1ccc(S(=O)(=O)C2CCNCC2)cc1,327,916
318,[5*]N1CC(S(=O)(=O)C2CCCCC2)C1,322,930
319,[9*]n1ncc(=O)[nH]c1=O,317,937
320,[1*]C(=O)CO,317,938
321,[14*]c1nc2ncncc2[nH]1,314,940
322,[16*]c1ccc(F)c(Br)c1,312,943
323,[8*]CCCO,312,944
324,[14*]c1nccc2[nH]ncc12,311,945
325,[14*]c1nc(Cl)c2[nH]cnc2n1,311,947
326,[14*]c1cc2n(n1)C[C@@H](C)NC2=O,311,948
327,[14*]c1cc2ncncc2s1,311,949
328,[4*]CC#N,309,957
329,[16*]c1ccc2c(c1)CNC(=O)C(C)O2,308,959
330,[7*]=Cc1cccc(F)c1,308,960
331,[9*]n1ncc2ccncc21,308,961
332,[16*]c1ccc2c(c1)Nc1ccccc1CC2,306,964
333,[15*]C1CCC(F)(F)CC1,306,965
334,[16*]c1cncc2sccc12,305,967
335,[5*]N1CCN2CCC1C2,304,974
336,[13*]C1COC2(CCCC2)O1,301,980
337,[13*][C@@H]1COC2(CCCCC2)O1,299,981
338,[5*]N1CCCC1C,297,988
339,[14*]c1nc2c(s1)COCC2,295,992
340,[4*]CCC(=O)O,294,995
341,[16*]c1c(O)c2cccnc2[nH]c1=O,294,996
342,[14*]c1nccc2c(C)c(C)[nH]c12,292,1002
343,[16*]c1ccc(=O)oc1,290,1006
344,[14*]c1nccc2occc12,290,1007
345,[15*]C1CCN(S(=O)(=O)N2CCCC2)CC1,289,1013
346,[5*]N1C[C@H]2CC[C@H](C2)C1,286,1016
347,[14*]c1cc2n(n1)C[C@H](C)NC2=O,284,1020
348,[10*]N1C(=O)c2ccnn2C[C@@H]1C,282,1025
349,[5*]N1C(C)=NS(=O)(=O)c2ccccc21,282,1027
350,[9*]n1ccccc1=O,281,1031
351,[8*]CCC(N)=O,281,1032
352,[14*]c1cc(=O)n2c(n1)SCC2CC=O,280,1035
353,[8*]C(O)C=O,278,1040
354,[9*]n1ncc2c1NC(=O)C[C@@H]2c1ccccc1,276,1048
355,[5*]N1CCC2CC21,274,1055
356,[12*]S(=O)(=O)c1ccc(C)c(C)c1,273,1056
357,[5*]N1CC2CCC2C1,272,1060
358,[16*]c1ccc2c(c1)oc(=O)c1ccccc12,272,1063
359,[16*]c1ccc2sncc2c1,271,1064
360,[15*][C@@H]1CCCC1=O,271,1065
361,[7*]=C(C#N)C#N,271,1067
362,[14*]c1nc2cnccc2c(=O)[nH]1,270,1071
363,[15*]C1C2CCC1CNC2,270,1072
364,[5*]N1CC[C@@H]2C[C@@H]21,268,1077
365,[15*][C@]12CNC[C@@H]1COC2,267,1080
366,[15*][C@@H]1C(C#N)=C(N)OC2=C1C(=O)CCC2,266,1082
367,[14*]c1nc(Cl)nc2[nH]ncc12,266,1083
368,[16*]c1cc(C)nc2c1c(=O)[nH]n2C,266,1084
369,[1*]C(=O)C1=C(C)OCCO1,263,1091
370,[15*][C@H]1C(C#N)=C(N)OC2=C1C(=O)CCC2,263,1092
371,[9*]n1c2c(cnc1=O)CCC2,262,1094
372,[14*]c1nc2c(s1)C(=O)NCCC2,262,1095
373,[6*]C(=O)NN=C1CCNCC1,261,1103
374,[3*]ON=C1CCNCC1,259,1106
375,[15*]C1CN2CCC1CC2,258,1107
376,[5*]NC1CCc2ccccc21,257,1109
377,[12*]S(=O)(=O)c1c(C)cc(C)cc1C,257,1110
378,[16*]c1cccn2c(=O)[nH]nc12,256,1112
379,[9*]n1cnc2c([nH]c3ccc(C)cc32)c1=O,256,1113
380,[10*]N1N=C(c2ccccc2)CCC1=O,255,1117
381,[1*]C(=O)CCCC,253,1125
382,[5*][NH+]1CCCC1,251,1130
383,[14*]c1c[nH]nn1,251,1131
384,[1*]C(=O)/C(C#N)=C1\NC(=O)CS1,251,1132
385,[9*]n1ncc2c(N)ncnc21,251,1133
386,[5*]N1CC2(COC(C)(C)OC2)C1,248,1137
387,[14*]c1[nH]c2ccccc2[nH+]1,247,1144
388,[5*]NC=O,247,1145
389,[9*]n1c(=O)[nH]c2sc(C)cc2c1=O,247,1146
390,[16*]c1c(F)c(F)c(F)c(F)c1F,245,1155
391,[14*]c1ccc(=O)[nH]n1,244,1161
392,[4*]C1CCC2(CCNC2)CC1,243,1162
393,[5*]N1CCc2ccccc2[C@@H]1c1ccccc1,243,1163
394,[5*]N1CCCS1(=O)=O,243,1164
395,[4*]C(C)(C)C=O,243,1165
396,[9*]n1nc(C)c2cn[nH]c2c1=O,242,1166
397,[9*]n1ncc2c(C)n[nH]c(=O)c21,242,1167
398,[13*][C@H]1NC(=O)NC2=C1C(=O)OC2,240,1175
399,[5*]N1CCn2nccc21,240,1176
400,[13*][C@@H]1NC(=O)NC2=C1C(=O)OC2,239,1177
401,[16*]c1csc2ccccc12,237,1180
402,[16*]c1ccc2c(c1)C(=O)OC2,237,1182
403,[14*]c1ccc2ccccc2[nH+]1,235,1187
404,[14*]c1nccc(C)n1,235,1188
405,[14*]c1[nH]nc2c1C(c1ccccc1)C(C#N)=C(N)O2,235,1189
406,[5*]N1CCOC(C)C1,234,1192
407,[15*]C1CC(O)C1,233,1195
408,[8*]CC[N+](=O)[O-],233,1199
409,[16*]c1cnn2c1OCCC2,233,1200
410,[5*]N1CCCC[C@H]1C,233,1202
411,[16*]c1cnc2[nH]ccc(=O)c2c1,230,1212
