FID,SMILES
446,[4*]CC[C@H](C)O
447,[16*]c1cccc(F)c1Cl
448,[9*]n1c(=O)c2ccccc2n2cnnc12
449,[5*]NC=O
450,[15*][C@@H]1CN[C@@H](C)C1
451,[9*]n1cccc1C
452,[9*]n1c(=O)[nH]c(=O)c2sccc21
453,[1*]C(=O)C1=C(C)NC2=C(C1)C(=O)CCC2
454,[15*][C@@H]1C[C@@H]2C=C[C@H]1C2
455,[14*]c1sccc1[SH](=O)=O
456,[14*]c1sc2ccccc2c1Cl
457,[14*]c1cc(Br)c[nH]1
458,[8*]CCC(=O)NNC=O
459,[7*]=Cc1ccccc1F
460,[4*][C@@](C)(CC)C(=O)[O-]
461,[14*]c1nnc2[nH]c(=O)c3ccccc3n12
462,[15*][C@H]1CC[NH2+][C@H]1C
463,[10*]N1CCNCCC1=O
464,[9*]n1ncc2ccccc21
465,[12*]S(=O)(=O)c1ccc(C#N)cc1
466,[14*]c1cn2cccc(C)c2n1
467,[16*]c1cc(Cl)c2c(c1)OCCCO2
468,[15*][C@H]1CN[C@H](C)C1
469,[6*]C(=O)/N=c1/[nH]c2ccccc2s1
470,[4*][C@@H](C)CC#N
471,[10*]N1Cc2ccccc2C1=O
472,[14*]c1nc2n(n1)CCC[C@H]2N
473,[16*]c1ccncc1C
474,[16*]c1ccc(C)[nH]c1=O
475,[12*]S(=O)(=O)[C@@H]1CCNC1
476,[5*]NC(=S)N1CCNCC1
477,[14*]c1ccc2nnnn2n1
478,[16*]c1c[nH]c2ccc(C)cc12
479,[5*]N1CCc2ccc([N+](=O)[O-])cc2C1
480,[14*]c1cnc(Cl)s1
481,[15*][C@@H]1CC[NH2+][C@H]1C
482,[9*]n1/c(=N/C=O)sc2ccccc21
483,[15*]C1CCS(=O)CC1
484,[4*][C@](C)(CC)C(=O)[O-]
485,[8*]CS(=O)(=O)[C@@H](C)C=O
486,[5*]N[C@H]1CCOc2ccccc21
487,[14*]c1nn2c(=O)ccnc2s1
488,[14*]c1n[nH]c(=O)o1
489,[4*]CCCCCC
490,[12*]S(=O)(=O)c1cn(C)cn1
491,[8*]CC(=C)C
492,[16*]c1cnc2c(c1)c(C)nn2C
493,[15*][C@H]1CCCCC1=O
494,[14*]c1cc(Cl)n(C)n1
495,[14*]c1nc(C)ns1
496,[15*][C@H]1CC[C@@H](C)CC1
497,[16*]c1c[nH]c2cccc(F)c12
498,[14*]c1nn(C)c(=O)c2ccccc12
499,[16*]c1ccccc1C=O
500,[9*]n1nccc1N
501,[10*]N1CCCOC1=O
502,[15*][C@H]1C[C@H]2CC[C@@H]1O2
503,[15*][C@@H]1CCC[C@H]1O
504,[5*]N[C@H]1CCCc2ccc(F)cc21
505,[15*][C@@H]1CC[NH2+]C[C@H]1C
506,[16*]c1ccncc1F
507,[15*][C@H]1CCCCNC1=O
508,[7*]=C1C(=O)NC(=S)N=C1[O-]
509,[16*]c1ccc(F)nc1
510,[4*][C@H](C#N)CC
511,[9*]n1cc(C#N)cn1
512,[16*]c1ccc(F)c([N+](=O)[O-])c1
513,[13*][C@H]1CNc2ccccc2O1
