FID,SMILES,frequency,org_FID
9553,[5*]N1c2cccnc2C(N)CC1C,7,14424
9554,[8*]CC#CC=O,7,14427
9555,[16*]c1cc[nH+]c2c(C)cccc12,7,14429
9556,[14*]c1n(O)c2ccccc2[n+]1[O-],7,14430
9557,[13*]C1CC(c2ccc(C)cc2)n2nc(N)nc2N1,7,14432
9558,[7*]=CC(=O)C(C)(C)C,7,14435
9559,[16*]c1cc(F)cc2[nH][nH]c(=O)c12,7,14436
9560,[9*]n1c2ccccc2n2c(=O)cc(C)c(C#C)c12,7,14437
9561,[14*]c1[nH]nc2c1[C@H](c1ccc(F)c(Br)c1)C(C#N)=C(N)O2,7,14438
9562,[4*]CC#Cc1cccc(Cl)c1,7,14440
9563,[11*]SCc1nc2sc3c(c2c(=O)[nH]1)CCC3,7,14441
9564,[10*]N1C(=O)CS/C1=C\C(C)=O,7,14442
9565,[9*]n1cnc(=O)c2ncn(C)c21,7,14443
9566,[5*]N1CCc2c(cnc3ccnn23)C1,7,14446
9567,[14*]c1csc(NN=C(C)c2ccccc2)n1,7,14447
9568,[5*]NC(N)=[NH+]c1nc2c(c(=O)[nH]1)CCCC2,7,14448
9569,[13*][C@]1(C)CNCCO1,7,14450
9570,[14*]c1cnc2nc(N)[nH]c(=O)c2n1,7,14453
9571,[16*]c1cnc2c(Cl)cnn2c1,7,14454
9572,[8*]CC(C#N)(C#N)CCC(F)(F)F,7,14458
9573,[14*]c1nc2ccc([SH](=O)=O)cc2s1,7,14459
9574,[16*]c1ccnc2c(=O)n(C)c(=O)n(C)c12,7,14460
9575,[13*][C@@]1(C)CC(=O)N=C2C=CC=C(C)N21,7,14461
9576,[15*]C1Cc2cccn2C1,7,14466
9577,[10*]N1CCc2c([nH]c3c(C)cc(C)cc23)C1=O,7,14467
9578,[6*]C(=O)CCC(=O)O,7,14468
9579,[5*]N1C(C(C)C)=NS(=O)(=O)c2ccccc21,7,14469
9580,[15*][C@]12CC3CC(C1)C[C@@](C)(C3)C2,7,14470
9581,[15*][C@]1(C)CCNC1,7,14473
9582,[16*]c1ccc(F)c(Cl)c1F,7,14475
9583,[16*]c1ccc([C@H]2CC(=O)Nc3c2c(C)nn3C)cc1F,7,14476
9584,[4*][C@@](C)(C#N)C(C)C,7,14477
9585,[13*][C@@H]1CNCCCN1,7,14478
9586,[7*]=C1CNC(=O)NC1=O,7,14479
9587,[12*]S(=O)(=O)c1c(C)n(C)c2ccccc12,7,14480
9588,[14*]c1nncn1/N=C/c1ccc(Cl)cc1Cl,7,14481
9589,[15*][C@H]1COc2ccccc2N(C)C1=O,7,14482
9590,[14*]c1nc(C)ncc1C,7,14483
9591,[5*]N1CCN(/N=C\c2cc([N+](=O)[O-])ccc2Cl)CC1,7,14484
9592,[13*]C1CNC2(CCCC2)C(=O)N1,7,14485
9593,[4*]CC(=O)N1C(=O)CN(C)C(=O)c2ccccc21,7,14486
9594,[13*][C@@H]1OC(C)(C)OC[C@H]1C,7,14487
9595,[14*]c1[nH]nc2c1[C@@H](c1cc(Br)ccc1F)C(C#N)=C(N)O2,7,14488
9596,[9*]n1nc(C)c2c1NC(=O)C[C@H]2c1ccc(Br)cc1,7,14490
9597,[13*][C@H]1SC(N2CCNCC2)=NC1=O,7,14491
9598,[9*]n1ncc2c1NC(=O)CC2c1ccc(Cl)cc1,7,14493
9599,[8*]C(C)C(=O)Cl,7,14494
9600,[16*]c1ccc(C2NCCc3ccccc32)cc1F,7,14495
9601,[14*]c1cc2c(cn1)CN([S@](=O)C(C)(C)C)C2,7,14497
9602,[13*]C1OC(=O)C=C1C=O,7,14498
9603,[8*]CC(C)(C)C(N)=O,7,14499
9604,[5*]N1CCC2(CC1)CN(C=O)C2,6,14501
9605,[13*]C1CN=C(c2ccccc2O)O1,6,14505
9606,[13*]C1CC[C@@]2(CN1)NC(=O)NC2=O,6,14506
9607,[14*]c1nc(N)c2ccncc2n1,6,14507
9608,[14*]c1cc(=O)cc(C)[nH]1,6,14511
9609,[16*]c1c[nH]c2c(F)c(F)c(F)c(F)c12,6,14512
9610,[16*]c1c[nH]cc(Br)c1=O,6,14514
9611,[13*]C1C/C(=N/NC(N)=S)C(C)CN1,6,14518
9612,[15*]C1C(=O)N[C@H](C)C1=O,6,14519
9613,[9*]n1ccc2c(Br)cncc21,6,14520
9614,[5*]N1CC[C@H](O)[C@@H](C)C1,6,14523
9615,[10*]N1C(=O)N(C)[C@H]2[C@@H]1N(C)C(=O)N2C,6,14524
9616,[14*]c1nc(N)c2cc(N)ncc2n1,6,14526
9617,[15*]C1Cc2ccccc2C1O,6,14528
9618,[8*]C(F)(F)C(F)(F)C(F)F,6,14529
9619,[14*]c1nc2c(C)cncc2[nH]1,6,14531
9620,[13*]C1S/C(=C(\C#N)C(C)=O)NC1=O,6,14532
9621,[8*]CN=N,6,14534
9622,[9*]n1c2c(c3cc(S(=O)(=O)O)ccc31)CCNC2=O,6,14536
9623,[13*][C@H]1C[C@@H](c2ccccc2C)n2nc(N)nc2N1,6,14537
9624,[5*]NC1=C(I)C(=O)CC(C)(C)C1,6,14538
9625,[13*][C@@H]1C[C@@H](c2ccccc2C)n2nc(N)nc2N1,6,14539
9626,[14*]c1s[nH]c(=O)c1C,6,14541
9627,[15*]C1Cc2ccccc2C1=O,6,14544
9628,[4*]CCCN1C(=O)C2(OCCO2)c2ccc(Cl)c(Cl)c21,6,14545
9629,[15*]C1CC(=O)C2=C(C1)Nc1ncnn1C2c1ccccc1,6,14546
9630,[9*]n1nc(C#N)c2c1CCCC2=O,6,14547
9631,[16*]c1c2ccccc2nc2cc(F)ccc12,6,14548
9632,[5*]NC(=S)c1ccc2cccnc2n1,6,14550
9633,[16*]c1ccc2c(c1)nc1n2C(=O)CCS1,6,14551
9634,[15*][C@@H]1CNCC1(C)C,6,14552
9635,[16*]c1ccc2c(c1)CCN[C@@H]2c1ccccc1F,6,14553
9636,[13*][C@H]1CC[C@@H]2C(=O)NCC(=O)N12,6,14554
9637,[4*]C(C)C(C)C(=O)O,6,14555
9638,[9*]n1nc2n(c1=O)C(C=O)CC(C)C2,6,14557
9639,[15*]C1C[C@H]2CNC[C@@H](C1)N2C,6,14558
9640,[6*]C(=O)N/N=C1/c2ccccc2CN1NC=O,6,14560
9641,[16*]c1ccc2c(c1)N(C)C(=O)[C@H]1CCCN21,6,14561
9642,[15*][C@H]1CCC=C(C)C1,6,14562
9643,[8*]C[C@H](C)C1=C(O)C2(CCCCC2)OC1=O,6,14563
9644,[14*]c1cnc2ccc(C)cn12,6,14564
9645,[5*]N/C=C1/C(=O)Nc2ccc(C)cc21,6,14565
9646,[14*]c1c(C)cc2n1CC(F)C2,6,14568
9647,[16*]c1cc(Cl)cc(Cl)c1N,6,14569
9648,[14*]c1oncc1Cl,6,14570
9649,[3*]O[C@H]1CCc2ncccc21,6,14572
9650,[11*]SC1=NCCO1,6,14573
9651,[13*][C@@H]1C=CC=CN1,6,14574
9652,[7*]=C1Cc2ccccc2N1,6,14575
9653,[15*][C@H]1COc2ccc(Cl)cc2C1,6,14576
9654,[14*]c1nnc2n1N=C(c1ccc(F)cc1)[C@@H](C)S2,6,14578
9655,[12*]S(=O)(=O)c1cc([SH](=O)=O)c2cccc3c2c1NC3=O,6,14579
9656,[8*]C(C#N)C(=O)C1Cc2ccccc21,6,14582
9657,[4*]CC(=O)n1c(=O)sc2ccccc21,6,14583
9658,[6*]C(=O)n1[nH]c(=O)c2cc(Br)ccc21,6,14584
9659,[14*]c1cc(C)cn1C,6,14586
9660,[16*]c1ccc2cc(F)ccc2c1,6,14587
9661,[16*]c1ccn2cncc2c1,6,14588
9662,[16*]c1coc2c(F)cncc12,6,14592
9663,[16*]c1cnc(C#N)c2c1CCCC2,6,14593
9664,[13*][C@@H]1S/C(=C(/C#N)C(C)=O)NC1=O,6,14595
9665,[8*][C@@H](C(=O)O)C(C)(C)C,6,14597
9666,[16*]c1ccc2c(c1)CCN[C@@H]2c1ccccc1O,6,14598
9667,[13*][C@@]1(C)CCC(N)=N1,6,14599
9668,[16*]c1cc(Cl)nc2ccoc12,6,14600
9669,[9*]n1cc2c(n1)CCC(O)C2,6,14601
9670,[14*]c1sc[nH+]c1C,6,14602
9671,[15*]C1CNCC1F,6,14604
9672,[14*]c1ncc(O)c2ccsc12,6,14605
9673,[5*]N1C=CC=C(N)C1,6,14606
9674,[13*]C1Cn2nc(C)cc2N1,6,14607
9675,[15*][C@H]1CCc2[nH]ncc2C1,6,14608
9676,[5*]N1C[C@@H]2C[C@@H]2C[C@H]1C,6,14610
9677,[5*]N1CCC[C@H](N)C1,6,14611
9678,[15*]C1(O)CCCC(C)C1,6,14612
9679,[4*]CC#Cc1cnc(N)c2ccsc12,6,14613
9680,[15*][C@H]1C(=O)Nc2c(c(C)nn2C)[C@H]1c1cccc(C)c1,6,14614
9681,[16*]c1ccc2c(N)ncnc2c1,6,14615
9682,[12*]S(=O)(=O)c1c(C)cc(F)cc1C,6,14618
9683,[8*]CCC1=NC(O)CS1,6,14620
9684,[5*]N1C(C)Cc2ccccc2C1C,6,14621
9685,[15*][C@H]1Cc2c(Cl)cc(Cl)cc2[C@@H]1O,6,14624
9686,[1*]C(=O)C1C(=O)N2CCCc3cc(F)cc1c32,6,14625
9687,[16*]c1cc(C)cnc1C,6,14627
9688,[14*]c1nn(C)c2c1CCC2,6,14628
9689,[13*][C@@H]1S/C(=C(\C#N)C(C)=O)NC1=O,6,14629
9690,[16*]c1c(C)cc(/C=N\n2cnnc2)cc1C,6,14631
9691,[4*]CC1=CC2CCC(C1)N2,6,14632
9692,[9*]n1c(C)c(O)[nH]c1=O,6,14636
9693,[9*]n1c(C)nc2nc(C)nc(Cl)c21,6,14637
9694,[16*]c1cc(C)c(C2NCCc3ccccc32)c(C)c1C,6,14641
9695,[13*][C@@]1(C)CNS(=O)(=O)N1,6,14642
9696,[5*]N1CC[C@H]2CCCC[C@H]21,6,14643
9697,[14*]c1nc2c(s1)CC(C)CC2,6,14647
9698,[12*]S(=O)(=O)c1ccc(Cl)c(F)c1Cl,6,14649
9699,[5*]N(C)C(C)=S,6,14651
9700,[14*]c1nc2ccc(Br)cc2c2nc3ccccc3n12,6,14652
