SMILES,Idx,FID
[16*]c1c(C)cc(C)cc1C,0,268
[4*]CC(F)(F)F,0,128
[14*]c1nc2ncccn2n1,0,1232
[16*]c1cccc([N+](=O)[O-])c1C,0,520
[16*]c1ccc2c(c1)COC2,0,505
[7*]=Cc1c[nH]nc1[14*],0,823
[7*]=Cc1c[nH]nc1[14*],7,561
[7*]=C(C#N)c1nc([14*])cs1,0,1874
[7*]=C(C#N)c1nc([14*])cs1,7,1831
[16*]c1ccc(C)c(C)c1,0,139
[5*]N1CCC[C@@H]1[13*],0,28
[5*]N1CCC[C@@H]1[13*],6,111
[16*]c1ccc2c(c1)OCCCO2,0,406
[14*]c1nc([14*])c(C)o1,0,355
[14*]c1nc([14*])c(C)o1,4,345
[9*]n1nc([14*])n([9*])c1=O,0,1891
[9*]n1nc([14*])n([9*])c1=O,4,451
[9*]n1nc([14*])n([9*])c1=O,6,672
[15*]C1CC[NH2+]CC1,0,60
[4*]C[C@@H]([4*])[8*],0,7
[4*]C[C@@H]([4*])[8*],3,7
[4*]C[C@@H]([4*])[8*],4,9
[16*]c1cc(Cl)ccc1C#N,0,1799
[5*][NH+](C)C,0,62
[14*]c1cc(C)nn1C,0,364
[10*]N1CC[C@@H]([15*])C1=O,0,55
[10*]N1CC[C@@H]([15*])C1=O,5,353
[1*]C(=O)CC(C)(C)C,0,617
[9*]n1nc2c([14*])nccn2c1=O,0,3998
[9*]n1nc2c([14*])nccn2c1=O,5,3525
[12*]S(=O)(=O)c1ccc(C)cc1,0,226
[4*]C[C@@H]([8*])C,0,20
[4*]C[C@@H]([8*])C,3,39
[6*]C(=O)N/N=C/c1ccc([16*])c([16*])c1,0,814
[6*]C(=O)N/N=C/c1ccc([16*])c([16*])c1,10,1003
[6*]C(=O)N/N=C/c1ccc([16*])c([16*])c1,12,1585
[16*]c1ccc(O)cc1O,0,1043
[9*]n1nc(C)c([16*])c1Cl,0,781
[9*]n1nc(C)c([16*])c1Cl,6,776
[4*][C@H](C)C(N)=O,0,736
[1*]C(=O)C[S@@](=O)C[8*],0,1341
[1*]C(=O)C[S@@](=O)C[8*],7,1352
[14*]c1csc(N/N=C2/CCCCCN2)n1,0,29536
[14*]c1cc(C)c([14*])s1,0,656
[14*]c1cc(C)c([14*])s1,6,239
[5*]N1CCn2c([14*])nnc2C1,0,997
[5*]N1CCn2c([14*])nnc2C1,6,1179
[9*]n1c([14*])nc2ccccc2c1=O,0,284
[9*]n1c([14*])nc2ccccc2c1=O,3,261
[12*]S(C)(=O)=O,0,88
[16*]c1ccc(F)c(F)c1F,0,546
[8*]CC(C)(C)C,0,487
[5*][NH+]1CCC[C@@H]1[13*],0,64
[5*][NH+]1CCC[C@@H]1[13*],6,202
[8*]C(C)(C)C,0,70
[14*]c1nc2cc([16*])ccc2o1,0,244
[14*]c1nc2cc([16*])ccc2o1,6,592
[13*][C@@H]1CC(c2cccc(F)c2)=NO1,0,6331
[4*][C@@H]([8*])C[8*],0,7
[4*][C@@H]([8*])C[8*],2,9
[4*][C@@H]([8*])C[8*],4,9
[16*]c1cnn(C)c1,0,85
[4*]C1([15*])CCCCC1,0,255
[4*]C1([15*])CCCCC1,2,21
[5*]N1CCC[C@H]([NH3+])C1,0,5128
[15*][C@@H]1CCCCC[C@H]1[15*],0,176
[15*][C@@H]1CCCCC[C@H]1[15*],8,176
[5*]N1/C(=C(/C=C(\Cl)[N+](=O)[O-])[N+](=O)[O-])OC[C@H]1[13*],0,20126
